# This is another example of data input

params:
  capacity 10.000000
cs:
  c1		0.331		-6.238		-9.760
  c2		4.239		2.141		-11.340
  c3		4.048		1.675		10.392
  c4		8.926		4.872		-1.665
  c5		1.346		0.407		4.963
  c6		2.588		7.111		-3.269
  c7		3.915		1.035		11.662
  c8		8.971		0.670		2.120
  c9		2.781		5.987		12.363
  c10		7.322		0.751		5.576
  c11		8.132		5.971		1.705
  c12		2.623		9.828		0.039
  c13		7.222		-4.603		10.678
  c14		1.474		-9.863		6.792
  c15		6.595		-1.747		-9.842
  c16		1.975		-5.225		-3.605
  c17		0.203		2.728		-9.208
  c18		8.868		8.022		-2.843
  c19		5.143		8.378		4.263
  c20		0.705		3.771		8.992
